,city_id,city,country,city_lat,city_lng,temp,humidity,cloudiness,wind_speed
326,5847486,Kailua,US,21.4,-157.74,75.25,64,20,9.17
327,4030556,Rikitea,PF,-23.12,-134.97,75.6,82,61,14.18
328,4030556,Rikitea,PF,-23.12,-134.97,75.6,82,61,14.18
329,1571058,Phan Thiet,VN,10.93,108.1,78.96,83,93,3.67
330,3451478,Riachão das Neves,BR,-11.75,-44.91,85.41,37,0,9.57
331,6065253,Manitouwadge,CA,49.12,-85.84,60.8,41,20,11.41
332,2236568,Uíge,AO,-7.61,15.06,74.86,43,45,1.19
333,1015776,Bredasdorp,ZA,-34.53,20.04,55.4,87,17,5.93
334,3984997,San Quintín,MX,30.48,-115.95,66.63,66,89,6.13
335,2075265,Busselton,AU,-33.65,115.33,55.6,77,100,5.55
336,933677,Kasane,BW,-17.82,25.15,71.6,35,94,4.7
337,1489656,Teya,RU,60.38,92.63,43.23,91,48,4.43
338,1006984,East London,ZA,-33.02,27.91,62.13,74,62,8.84
339,2126785,Belaya Gora,RU,68.53,146.42,67.05,50,92,3.71
340,1649150,Bengkulu,ID,-3.8,102.27,78.35,81,65,4.29
341,4030556,Rikitea,PF,-23.12,-134.97,75.6,82,61,14.18
342,2013258,Vrangel',RU,42.73,133.08,54.97,87,19,8.37
343,3448596,São Lourenço do Sul,BR,-31.37,-51.98,62.6,72,75,14.99
344,3835869,Santiago del Estero,AR,-27.8,-64.26,69.17,31,0,11.59
345,921786,Mitsamiouli,KM,-11.38,43.28,76.98,75,27,17.49
346,3359638,Walvis Bay,NA,-22.96,14.51,74.37,15,0,11.41
347,546105,Nikolskoye,RU,59.7,30.79,76.59,50,28,6.71
348,2126123,Chokurdakh,RU,70.63,147.92,65.55,53,16,3.69
349,1814093,Dali,CN,25.7,100.18,66.22,84,86,5.77
350,2077963,Albany,AU,-35.02,117.89,57.2,71,90,8.05
351,2288105,Grand-Lahou,CI,5.14,-5.02,80.2,82,100,8.9
352,933995,Souillac,MU,-20.52,57.52,71.6,68,75,13.87
353,3874787,Punta Arenas,CL,-53.15,-70.92,39.09,86,40,4.7
354,1785036,Zhangye,CN,38.93,100.45,67.35,43,100,4.76
355,3693646,Picota,PE,-6.92,-76.33,82.4,74,75,3.36
356,3395998,Macau,BR,-5.12,-36.63,87.08,58,19,12.33
357,2173911,Broken Hill,AU,-31.95,141.43,51.8,57,0,9.17
358,2108502,Honiara,SB,-9.43,159.95,73.4,100,40,8.05
359,2120048,Ust-Nera,RU,64.57,143.2,53.67,68,3,2.3
360,5866583,Saint Paul Harbor,US,57.79,-152.41,50.0,81,1,4.94
361,3874787,Punta Arenas,CL,-53.15,-70.92,39.09,86,40,4.7
362,2074865,Carnarvon,AU,-24.87,113.63,67.21,26,0,17.31
363,2017155,Saskylakh,RU,71.92,114.08,53.28,74,70,10.54
364,5855927,Hilo,US,19.73,-155.09,69.06,83,75,5.82
365,1502073,Krasnosel'kup,RU,65.7,82.47,44.62,58,71,7.38
366,3366880,Hermanus,ZA,-34.42,19.23,55.99,85,60,13.27
367,2347209,Bida,NG,9.08,6.02,89.53,60,25,4.61
368,3652764,Puerto Ayora,EC,-0.74,-90.35,75.76,73,40,14.99
369,3374462,Mindelo,CV,16.89,-24.98,86.0,58,3,10.29
370,964406,Port Shepstone,ZA,-30.74,30.45,60.57,62,0,8.08
371,487928,Novikovo,RU,51.15,37.89,69.71,81,48,11.05
372,2075265,Busselton,AU,-33.65,115.33,55.6,77,100,5.55
373,2123814,Leningradskiy,RU,69.38,178.42,42.58,86,0,2.06
374,1622318,Waingapu,ID,-9.66,120.26,75.79,82,48,9.57
